Sample	Spike_median_coverage	Spike_min_coverage	Spike_max_coverage	RBD_median_coverage	RBD_min_coverage	RBD_max_coverage
07293248	2961	1	6598	2642	372	4802
07293249	2196	1	7386	2013.5	12	4152
07293250	2785	0	5587	2068	146	3727
07293251	2773	1	6360	2514	553	4442
07293252	2587	0	4556	2319.5	860	2913
07293253	2120	0	3862	1891	588	2525
07293254	2247	27	4449	1769.5	258	2753
07293255	2481	9	4490	1618	578	2443
07293256	2368	1	4875	1530	282	2684
07293257	3511	9	6704	2662.5	1840	4180
07293258	1263	1	2615	853.5	97	1362
07293259	1714.5	1	3373	1127	261	1805
07293260	3157.5	11	6194	2327.5	1633	3819
07293261	3033	5	5750	2252	1540	3719
07293262	1723	5	3213	1120.5	340	1714
07293263	3241	3	6783	2378.5	1544	4645
07293264	3347.5	7	5577	2216	1366	3388
07293265	2416	8	4230	1561.5	707	2325
07293266	2561	5	4561	1589	899	2545
07293267	2056	3	3695	1372	657	1982
07293268	2974	4	5477	1884.5	420	3309
07293269	2832	12	5109	1897	859	2801
07293270	2590	8	4670	1642	566	2640
07293271	3580	17	5960	2234	1135	3557
07293272	3187.5	12	5934	1975.5	326	3460
07293273	3522	3	6517	2695	1502	4019
07293274	2908.5	9	5328	2124	1409	3349
07293275	3038	2	5484	2029	968	2859
07293276	2701	6	4879	1736	838	2542
07293277	2778	5	5368	1919	1276	3623
07293278	2778	5	5246	1765	501	2893
07293279	1264	0	2456	761.5	15	1410
07293280	1488	5	4665	1278	868	2701
07293281	2665	5	5210	1761.5	491	2908
07293282	2397.5	10	5523	1845.5	1119	3681
07293283	2726.5	7	5094	1839	962	2839
07293284	2602	4	4631	1678.5	943	2607
07293285	2069	3	4240	1658.5	1070	2768
07293286	3019	6	5573	2239	1398	3376
07293287	1702.5	4	3280	1106.5	100	1909
07293288	2689	9	5049	1752	511	2923
07293289	2805.5	8	5458	2080	1220	3368
07293290	2588	7	4740	1713	507	2724
07293291	3117	5	5685	2036	780	3119
07293292	2854.5	7	5990	1876.5	353	3418
07293293	2875	2	5106	2007	1180	2819
07293294	2748	10	4991	1749	701	2674
07293295	2893.5	54	5095	2037	899	2847
07293296	3873	13	7101	2717	1702	4294
07293298	3217	9	7083	2489.5	1664	4791
07293299	3330	5	6198	2179	693	3550
07293300	2709	6	4967	1861	1135	2989
07293301	2467	8	4738	1598	239	2720
07293302	3078	7	5671	2361.5	1487	3434
